Song,Date,Number of Plays
e6clc1g1hg,2020-09-09,414
g77hmpp5fi,2020-03-06,307
55sr  d5uz,2020-03-08,892
y7pvg6jdu ,2020-11-24,743
3fqkb7tufx,2020-08-15,78
5w7f  ugcf,2020-09-08,783
zlpxm6ywj7,2020-03-04,619
vmod1w1cjb,2020-11-12,182
fo569dx7j ,2020-12-18,175
pxzyce765q,2020-07-16,532
dvio qi3fr,2020-08-20,77
33iuxojoc6,2020-03-18,476
w2qveutxat,2020-03-02,952
mgu4pm925q,2020-07-02,923
69bgq4z1st,2020-02-06,644
o 9x34xb4t,2020-07-01,269
vzza3hd6pe,2020-10-11,732
0avyeyxka2,2020-11-08,515
vgme4fimkh,2020-12-02,307
q9pb4esk8z,2020-08-24,867
fa1kiih5bo,2020-08-24,439
qgh76lmih5,2020-04-07,327
moahh9bn10,2020-05-22,914
 iv3mh4yij,2020-01-06,532
rifztwh51r,2020-08-28,893
owewuz0jrh,2020-03-24,199
xs9p 342gw,2020-09-04,567
3a1ybr7gxm,2020-01-07,75
oqow2c45zw,2020-11-27,958
dutfvl6tni,2020-10-12,605
f7jyqkfokj,2020-03-18,865
8pwp0ktd9k,2020-12-23,89
5daxghxdsg,2020-07-01,586
787v gy955,2020-11-01,941
lne06cu0fa,2020-10-15,752
f95qf7w2bw,2020-07-18,539
fzr2wbezr1,2020-08-12,261
6m1zjq3mu7,2020-11-27,688
 if40twd2g,2020-09-07,935
vhl59044jj,2020-07-09,267
b2e9r4gxhf,2020-06-18,259
pddnx77tjj,2020-01-16,385
n7g6w6joz9,2020-08-16,132
 vvjnnxvyr,2020-04-25,613
nq8llhyji7,2020-02-14,875
vadu0y81jt,2020-06-25,792
0uk41szmmo,2020-08-05,693
qyy  l41eg,2020-05-27,579
w  fji9rkm,2020-06-21,981
8k5fjphmp5,2020-10-09,507
tzk9ra9rr9,2020-02-03,83
eb8ys7am8x,2020-12-11,708
c3pp2r0kla,2020-09-03,614
eivsnw5gng,2020-10-13,409
w3emvr8d j,2020-06-21,99
qgxnmbocp6,2020-08-15,339
3i24ct2lsj,2020-03-27,312
jur0z2r qk,2020-06-16,506
pnlwxg kly,2020-06-13,726
g6chxrzrj2,2020-09-08,179
dalohyxic1,2020-08-05,497
34smqs7tn9,2020-03-21,159
z5kr5t9ysh,2020-05-23,657
t3bib1g05j,2020-07-06,440
j9crslyyi9,2020-02-07,444
r6pvv50ozy,2020-12-24,438
9tox cpfju,2020-02-08,226
99x380uljv,2020-06-19,423
pc1ria0qco,2020-10-27,312
yghsob7vs2,2020-07-09,481
c26m3ezz k,2020-04-27,867
 guq0p8br2,2020-10-08,783
i45bu0afh ,2020-02-28,211
a973wh1ha9,2020-03-13,510
13b6zou209,2020-11-17,281
npn9l9eju3,2020-12-26,510
x8nf3i03e7,2020-08-24,63
t2qczc6wh8,2020-02-08,569
u3uyldhrzv,2020-06-23,220
eofbq8ei87,2020-10-25,364
1zfn5iglls,2020-04-07,171
wi7bc0l6ku,2020-02-24,372
ruzij yy29,2020-12-08,719
lcru49dx0c,2020-01-06,352
nsx95j  ez,2020-02-02,650
9ilkgvc5kb,2020-09-16,922
rk8lne4uw ,2020-08-28,268
58jmk2fko2,2020-01-19,297
4p9awptu9f,2020-01-22,828
2zvxw1l6r2,2020-03-17,68
sm 8dpymfr,2020-05-27,540
gntotqb7gs,2020-12-15,933
onk7xtzoj4,2020-10-08,122
c31394ixo5,2020-11-22,506
357vmp5qqm,2020-08-13,66
jnusceo0s3,2020-02-19,802
hlyt3m7vxm,2020-07-05,455
jhta23w7xq,2020-02-27,873
lszawynlys,2020-05-03,349
24rp4nr qo,2020-07-26,234
3c7bzmna7n,2020-07-03,281
8x645vnc4f,2020-04-12,922
m6q4fynmur,2020-01-19,376
sprgs2wnaz,2020-04-16,360
bs8z1dhzbn,2020-03-07,346
552arnn0ai,2020-08-04,149
duad6qg3f8,2020-07-26,893
oxq2gddvk6,2020-05-23,993
dztwhrbzvf,2020-01-04,714
im 4n1sa5v,2020-02-20,389
c2pilwfiee,2020-08-05,342
9fd5r2cbuv,2020-05-04,932
6qkycax6yb,2020-12-13,163
s14gjc2dve,2020-04-13,145
q boufl898,2020-02-07,153
wplb4te4nc,2020-09-22,91
pet1vdu0no,2020-06-02,134
y62x60va9x,2020-08-25,943
muztox37mc,2020-07-25,238
30g6sbfjq4,2020-10-20,987
wjddz3t6mu,2020-03-19,231
5z6fwaaj4x,2020-07-07,719
wdxr8kn es,2020-03-09,576
6721bptxf0,2020-06-26,861
c5do2na3 j,2020-03-25,74
5xtw4vzlgk,2020-04-18,343
lya4k62fb4,2020-08-28,138
h3t8vc09jv,2020-04-22,716
6uzhyj65iv,2020-02-27,339
lr tq2 wcg,2020-04-25,793
et6x3whpb6,2020-02-10,458
pbyxeuiqm9,2020-07-11,111
mexu2p84xf,2020-06-10,696
f01s5njzsx,2020-01-06,200
2ufw3amqx5,2020-04-22,927
93y4jt3wdz,2020-03-05,256
ghkm3xjys5,2020-06-08,846
9zjrnt4c9t,2020-12-02,921
rs6okne4nv,2020-01-12,718
uaz5cyzc8e,2020-03-04,975
9r9vukhcps,2020-05-28,956
1c211mlajs,2020-09-10,131
p3qq1g6dte,2020-11-21,336
 p0 0ad4r5,2020-06-08,321
j2sae32qxa,2020-02-16,562
0m7s9p2s30,2020-06-21,893
qx psnopcm,2020-11-06,152
bif8jvph2 ,2020-03-17,644
fmf1kqduyi,2020-12-15,952
ewjrp2brql,2020-12-01,195
lygukj3e l,2020-10-25,936
1jz3pdj708,2020-05-16,336
bgqp1pyb7y,2020-02-13,539
f36k94ukct,2020-08-03,191
l55y3jtr f,2020-08-08,206
dlqy32s dr,2020-05-23,696
2nu1y yvm0,2020-04-04,836
xi2nts3h5u,2020-01-16,322
f07drcitq8,2020-01-14,621
s8e7utjbz7,2020-05-05,948
 pu1swem06,2020-12-08,63
gopil5yn7j,2020-07-05,107
8bp0bt1yzq,2020-10-15,562
du5h1qhd0v,2020-09-16,857
00s8zqrqko,2020-04-15,792
9 h5po552p,2020-07-14,471
ua4wp8vl37,2020-06-16,857
y g4v8ppif,2020-11-23,506
9ien74fmx4,2020-12-10,650
qg7 ycizzf,2020-09-12,265
qry9vrs1zx,2020-04-12,134
g87z 1pnu2,2020-02-16,879
8klgoy0itx,2020-10-23,714
0w 8nbmxe0,2020-10-28,944
6x0okp 09h,2020-11-18,318
36yhj757h1,2020-07-11,238
pw crty6q8,2020-04-18,767
64igkq4u7z,2020-03-08,926
n0ysoyc1h ,2020-10-12,671
fq5x40rwvx,2020-09-09,429
gli9cn 7n2,2020-11-16,108
7pv41zqc55,2020-12-11,858
vkqp681yhk,2020-07-21,751
08wasp311w,2020-01-04,939
6lkuu4u8zw,2020-02-23,224
lr1iqxhgo2,2020-06-22,725
sh9b9j9so7,2020-05-20,104
sw0t9xv2lr,2020-11-18,350
ku712lz4oh,2020-01-11,511
mjluxvcezm,2020-05-05,999
224bme3ah4,2020-09-20,356
z9w8pv5dsb,2020-01-01,181
ih30bdngmc,2020-04-25,241
va8q8612j9,2020-07-07,995
zpmu9ib9tq,2020-05-18,461
b6 seqfm r,2020-11-13,925
tpl1v248kl,2020-09-12,326
ruvh iw  8,2020-01-09,303
f8j64tropm,2020-09-06,746
e86qle94kk,2020-02-18,824
bphzhr5lb ,2020-04-27,86
sttsubro2y,2020-05-15,548
edva0pqice,2020-11-19,76
l6 rrkjbgh,2020-08-08,834
diiw69j8by,2020-05-08,148
ajq5s gz8r,2020-02-23,172
urgzq lcje,2020-07-28,988
1r27htqgjp,2020-05-24,564
wdxt53qn0h,2020-10-20,541
mfac610qf1,2020-01-08,299
725j42o7yl,2020-05-17,458
nmcuojscoy,2020-02-05,86
f8mkdfczoz,2020-07-03,670
mldjes80oi,2020-10-26,242
v6r8t5iprp,2020-07-17,87
ix85hfnnhe,2020-05-24,50
j96pu178r6,2020-06-04,330
cahrvwayhl,2020-12-11,89
vw volc4eo,2020-01-17,344
f5i766pnru,2020-09-05,394
qbix5 83tu,2020-02-04,940
uhvj03kfpw,2020-01-04,468
zopovfjj1j,2020-05-24,385
5be2zih1oh,2020-07-28,270
srf 8e0xkr,2020-12-12,782
57a3n83ggu,2020-02-04,137
sz01 qkdfh,2020-04-16,667
oj2rt0rrox,2020-10-15,794
cnr0aj3m6m,2020-01-17,778
uv3i0hm41j,2020-04-20,978
xgppm0i7ow,2020-09-20,709
7k3jmf3khs,2020-05-24,252
2j73tv6jjk,2020-01-10,253
924q34odoj,2020-10-27,158
fqhn5 u6e6,2020-07-28,422
eica7 8wva,2020-12-15,537
jgmsnvgpcx,2020-03-23,599
69lsl2qf77,2020-09-10,242
bl10sded3x,2020-03-04,908
3re4ukn6xr,2020-05-26,990
7rso20h01v,2020-05-10,914
py47pr1umj,2020-09-11,478
xkzxi033zu,2020-03-19,489
gjogs9393k,2020-07-24,484
qs655yynuq,2020-08-26,909
 w9 adn0n ,2020-04-12,333
pulxnkdxrn,2020-05-09,546
kac1nnngx9,2020-04-20,838
5qkv4umwww,2020-09-13,233
xtk75q706y,2020-10-11,153
khgqheht9r,2020-11-13,303
jfwpumxvgw,2020-07-18,328
7awvgmxlhx,2020-12-15,554
sx alsyc0u,2020-08-09,468
q38phcu4b1,2020-05-23,453
w9mqi0t45d,2020-10-27,369
sejc05uoy5,2020-04-24,831
6n4gh78e3x,2020-01-21,709
2aaohhth a,2020-06-11,421
zxf271iwnn,2020-10-06,69
